N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"61,800","

				1,600
				
","

				+2.66%
				
",100,"3,689,326","5,969,783",49.86,"18,217,952",9.37,13.92,
2,LG에너지솔루션,"588,000","

				1,000
				
","

				+0.17%
				
",500,"1,375,920","234,000",4.90,"366,085",976.74,10.68,
3,삼성바이오로직스,"900,000","

				17,000
				
","

				+1.93%
				
","2,500","640,566","71,174",10.72,"73,416",119.70,8.21,
4,SK하이닉스,"87,700","

				1,200
				
","

				+1.39%
				
","5,000","638,458","728,002",50.81,"2,789,558",5.56,16.84,
5,삼성SDI,"730,000","

				10,000
				
","

				-1.35%
				
","5,000","501,981","68,765",46.84,"347,483",34.05,8.45,
6,LG화학,"691,000","

				13,000
				
","

				-1.85%
				
","5,000","487,793","70,592",48.27,"267,085",24.36,18.47,
7,삼성전자우,"55,700","

				1,600
				
","

				+2.96%
				
",100,"458,348","822,887",71.57,"1,082,522",8.45,N/A,
8,현대차,"170,000","

				500
				
","

				+0.29%
				
","5,000","363,236","213,668",29.05,"798,660",7.54,6.84,
9,NAVER,"177,500","

				8,500
				
","

				+5.03%
				
",100,"291,187","164,049",49.40,"2,542,219",28.96,106.72,
10,기아,"67,500","

				400
				
","

				+0.60%
				
","5,000","273,620","405,363",36.87,"1,584,412",5.17,14.69,
11,셀트리온,"187,500","

				4,500
				
","

				+2.46%
				
","1,000","263,985","140,792",21.62,"323,292",46.91,16.04,
12,POSCO홀딩스,"273,000","

				3,500
				
","

				-1.27%
				
","5,000","230,879","84,571",52.89,"572,633",3.29,13.97,
13,카카오,"51,500","

				1,650
				
","

				+3.31%
				
",100,"229,341","445,322",27.13,"4,429,546",10.30,17.10,
14,삼성물산,"121,500","

				1,000
				
","

				+0.83%
				
",100,"227,068","186,887",16.83,"222,510",14.47,5.40,
15,현대모비스,"217,500","

				3,500
				
","

				-1.58%
				
","5,000","205,070","94,285",36.43,"148,818",8.67,6.87,
16,KB금융,"47,750","

				300
				
","

				+0.63%
				
","5,000","195,248","408,897",73.31,"1,142,321",4.22,9.80,
17,신한지주,"36,550","

				50
				
","

				-0.14%
				
","5,000","187,477","512,934",61.66,"1,105,476",4.54,8.80,
18,SK이노베이션,"185,000","

				3,500
				
","

				+1.93%
				
","5,000","171,061","92,466",25.96,"538,634",6.76,1.91,
19,SK,"224,000","

				2,000
				
","

				+0.90%
				
",200,"166,094","74,149",22.70,"89,073",5.03,10.19,
20,포스코케미칼,"211,500","

				3,000
				
","

				-1.40%
				
",500,"163,835","77,463",8.66,"904,596",119.49,7.92,
21,LG전자,"91,300","

				400
				
","

				+0.44%
				
","5,000","149,410","163,648",26.20,"990,689",8.96,6.32,
22,삼성생명,"67,700","

				400
				
","

				+0.59%
				
",500,"135,400","200,000",13.24,"205,494",18.55,4.01,
23,LG,"81,800","

				200
				
","

				+0.25%
				
","5,000","128,672","157,301",36.28,"127,148",5.62,12.36,
24,KT&G,"93,700","

				1,100
				
","

				-1.16%
				
","5,000","128,643","137,292",43.65,"758,422",12.15,10.74,
25,하나금융지주,"40,750","

				50
				
","

				-0.12%
				
","5,000","120,581","295,903",70.70,"997,797",3.49,10.86,
26,고려아연,"589,000","

				6,000
				
","

				-1.01%
				
","5,000","116,994","19,863",21.34,"66,731",13.04,11.07,
27,SK텔레콤,"50,500","

				100
				
","

				+0.20%
				
",100,"110,511","218,833",46.49,"489,191",8.70,13.63,
28,한국전력,"17,100","

				200
				
","

				+1.18%
				
","5,000","109,776","641,964",14.36,"1,635,209",-0.71,-7.99,
29,S-Oil,"93,900","

				1,000
				
","

				-1.05%
				
","2,500","105,715","112,583",80.93,"339,044",4.37,21.76,
30,카카오뱅크,"21,650","

				1,150
				
","

				+5.61%
				
","5,000","103,191","476,634",12.78,"5,458,397",48.00,4.91,
31,현대중공업,"115,000","

				1,000
				
","

				+0.88%
				
","5,000","102,089","88,773",5.77,"127,725",-13.82,-14.87,
32,HMM,"20,650","

				950
				
","

				+4.82%
				
","5,000","100,987","489,039",9.80,"3,127,818",0.86,88.62,
33,두산에너빌리티,"15,600","

				200
				
","

				+1.30%
				
","5,000","99,576","638,308",11.13,"5,716,976",117.29,10.67,
34,삼성에스디에스,"127,000","

				500
				
","

				+0.40%
				
",500,"98,270","77,378",13.60,"91,252",12.92,8.80,
35,삼성전기,"129,500","

				3,500
				
","

				+2.78%
				
","5,000","96,728","74,694",27.14,"653,913",9.74,14.29,
36,삼성화재,"202,000","

				2,000
				
","

				-0.98%
				
",500,"95,697","47,375",50.21,"97,736",8.85,7.09,
37,크래프톤,"194,500","

				500
				
","

				+0.26%
				
",100,"95,445","49,072",29.54,"127,630",15.11,17.86,
38,KT,"36,500","

				200
				
","

				+0.55%
				
","5,000","95,306","261,112",44.18,"749,173",6.63,9.36,
39,LG생활건강,"584,000","

				14,000
				
","

				+2.46%
				
","5,000","91,210","15,618",36.73,"107,525",17.34,16.65,
40,대한항공,"24,650","

				550
				
","

				+2.28%
				
","5,000","90,766","368,221",15.83,"1,621,608",5.76,11.60,
41,엔씨소프트,"412,000","

				9,000
				
","

				+2.23%
				
",500,"90,451","21,954",43.19,"89,273",17.77,12.62,
42,한화솔루션,"47,150","

				500
				
","

				+1.07%
				
","5,000","90,188","191,278",24.21,"1,914,130",25.95,8.79,
43,우리금융지주,"11,700","

				150
				
","

				+1.30%
				
","5,000","85,183","728,061",40.50,"2,094,896",2.90,10.59,
44,기업은행,"10,500","

				100
				
","

				-0.94%
				
","5,000","78,152","744,301",13.58,"982,544",3.45,9.21,
45,LG이노텍,"293,000","

				8,000
				
","

				+2.81%
				
","5,000","69,345","23,667",23.31,"362,143",7.20,30.94,
46,현대글로비스,"184,000","

				9,000
				
","

				+5.14%
				
",500,"69,000","37,500",46.83,"136,132",6.66,14.41,
47,아모레퍼시픽,"112,000","

				6,000
				
","

				+5.66%
				
",500,"65,512","58,493",24.58,"740,070",92.03,4.20,
48,SK바이오사이언스,"85,100","

				300
				
","

				+0.35%
				
",500,"65,343","76,784",4.35,"243,413",19.49,38.08,
49,CJ제일제당,"415,500","

				2,000
				
","

				-0.48%
				
","5,000","62,550","15,054",24.95,"40,109",10.49,10.76,
50,롯데케미칼,"171,500","
0
","
0.00%
","5,000","58,782","34,275",25.12,"170,916",11.44,9.87,
51,카카오페이,"44,000","

				3,850
				
","

				+9.59%
				
",500,"58,380","132,682",42.82,"2,149,896",-222.22,-2.45,
52,F&F,"150,500","

				2,500
				
","

				+1.69%
				
",100,"57,652","38,307",11.99,"140,649",15.74,N/A,
53,한국조선해양,"77,200","

				1,600
				
","

				+2.12%
				
","5,000","54,637","70,773",20.21,"128,889",-7.88,-8.95,
54,SK스퀘어,"38,550","

				450
				
","

				+1.18%
				
",100,"54,536","141,468",42.02,"313,229",2.39,N/A,
55,KODEX 200,"31,230","

				445
				
","

				+1.45%
				
",0,"53,825","172,350",5.95,"6,566,825",N/A,N/A,
56,하이브,"129,500","

				6,000
				
","

				+4.86%
				
",500,"53,553","41,353",15.49,"173,318",22.82,6.83,
57,LG디스플레이,"14,450","

				1,050
				
","

				+7.84%
				
","5,000","51,704","357,816",19.47,"4,860,841",24.57,9.68,
58,LG유플러스,"11,800","

				100
				
","

				+0.85%
				
","5,000","51,520","436,611",37.98,"661,075",8.05,9.47,
59,강원랜드,"23,700","

				300
				
","

				+1.28%
				
",500,"50,704","213,940",22.54,"363,969",123.44,-0.33,
60,삼성엔지니어링,"25,850","

				250
				
","

				-0.96%
				
","5,000","50,666","196,000",40.82,"2,038,474",11.89,20.67,
61,HD현대,"64,100","

				300
				
","

				+0.47%
				
","1,000","50,635","78,993",17.67,"121,242",5.70,-1.99,
62,SK바이오팜,"62,400","

				200
				
","

				+0.32%
				
",500,"48,867","78,313",6.42,"72,577",-62.84,15.75,
63,삼성중공업,"5,370","

				30
				
","

				+0.56%
				
","1,000","47,256","880,000",15.81,"1,614,500",-7.09,-36.89,
64,한국항공우주,"48,300","

				1,150
				
","

				+2.44%
				
","5,000","47,080","97,475",25.23,"771,596",55.52,5.19,
65,GS,"48,300","

				500
				
","

				-1.02%
				
","5,000","44,878","92,915",25.25,"136,374",2.07,15.55,
66,맥쿼리인프라,"10,950","
0
","
0.00%
",0,"44,331","404,846",13.26,"321,039",N/A,N/A,
67,현대건설,"39,800","

				300
				
","

				+0.76%
				
","5,000","44,320","111,356",23.95,"680,983",7.85,5.89,
68,한온시스템,"8,100","

				60
				
","

				-0.74%
				
",100,"43,238","533,800",16.59,"624,709",23.14,13.83,
69,금호석유,"144,500","

				1,500
				
","

				-1.03%
				
","5,000","42,359","29,314",21.42,"118,341",3.08,47.76,
70,SK아이이테크놀로지,"59,100","

				600
				
","

				+1.03%
				
","1,000","42,137","71,298",8.03,"812,981",326.52,5.57,
71,유한양행,"57,500","

				100
				
","

				+0.17%
				
","1,000","42,108","73,231",20.29,"133,308",43.73,5.45,
72,한국타이어앤테크놀로지,"33,600","

				1,050
				
","

				-3.03%
				
",500,"41,622","123,875",35.91,"403,177",6.10,7.69,
73,넷마블,"47,850","

				1,200
				
","

				+2.57%
				
",100,"41,129","85,954",23.30,"218,925",-176.57,4.29,
74,현대제철,"30,750","

				100
				
","

				+0.33%
				
","5,000","41,035","133,446",21.53,"490,417",2.12,8.54,
75,코웨이,"55,200","

				700
				
","

				+1.28%
				
",500,"40,737","73,800",61.58,"161,166",8.29,27.41,
76,SKC,"106,000","

				500
				
","

				+0.47%
				
","5,000","40,140","37,868",16.28,"180,073",13.68,11.60,
77,미래에셋증권,"6,510","

				40
				
","

				+0.62%
				
","5,000","40,057","615,316",12.72,"573,672",5.28,11.66,
78,DB손해보험,"54,800","

				2,200
				
","

				-3.86%
				
",500,"38,798","70,800",42.98,"368,670",4.04,13.38,
79,오리온,"97,900","

				900
				
","

				+0.93%
				
",500,"38,706","39,536",35.89,"76,989",13.25,12.75,
80,현대미포조선,"95,000","

				1,100
				
","

				+1.17%
				
","5,000","37,945","39,942",19.67,"165,016",-90.05,-7.11,
81,한화에어로스페이스,"73,800","

				2,800
				
","

				+3.94%
				
","5,000","37,365","50,630",22.46,"1,188,422",24.19,9.21,
82,롯데지주,"35,500","

				100
				
","

				+0.28%
				
",200,"37,243","104,909",9.99,"127,018",11.17,4.61,
83,메리츠화재,"32,500","

				300
				
","

				+0.93%
				
",500,"36,979","113,783",11.16,"129,016",4.83,26.12,
84,삼성카드,"31,050","

				50
				
","

				+0.16%
				
","5,000","35,974","115,859",6.51,"67,890",6.15,7.53,
85,두산밥캣,"35,500","

				100
				
","

				+0.28%
				
",500,"35,588","100,249",26.43,"192,715",8.50,9.19,
86,에스디바이오센서,"32,200","

				100
				
","

				+0.31%
				
",500,"33,253","103,271",14.77,"290,456",2.85,72.47,
87,한국가스공사,"36,000","

				350
				
","

				+0.98%
				
","5,000","33,233","92,313",10.78,"287,872",2.42,11.63,
88,메리츠금융지주,"25,900","

				2,050
				
","

				+8.60%
				
",500,"33,041","127,572",6.52,"276,907",3.48,22.33,
89,TIGER 차이나전기차SOLACTIVE,"14,000","

				400
				
","

				-2.78%
				
",0,"32,570","232,640",1.00,"4,925,275",N/A,N/A,
90,한미약품,"261,000","

				7,000
				
","

				+2.76%
				
","2,500","32,150","12,318",15.49,"42,497",40.79,8.75,
91,현대오토에버,"115,500","
0
","
0.00%
",500,"31,675","27,424",2.13,"33,731",40.90,7.26,
92,BGF리테일,"181,500","

				4,500
				
","

				-2.42%
				
","1,000","31,370","17,284",32.46,"53,691",18.63,19.61,
93,KODEX KOFR금리액티브(합성),"101,205","

				5
				
","
0.00%
",0,"31,151","30,780",2.01,"185,357",N/A,N/A,
94,NH투자증권,"9,280","

				180
				
","

				+1.98%
				
","5,000","30,779","331,666",12.86,"652,108",4.78,14.77,
95,삼성증권,"33,550","

				850
				
","

				+2.60%
				
","5,000","29,960","89,300",27.12,"368,129",4.28,16.94,
96,현대차2우B,"81,500","

				100
				
","

				-0.12%
				
","5,000","29,736","36,485",60.28,"36,700",3.62,N/A,
97,한국금융지주,"53,200","

				200
				
","

				+0.38%
				
","5,000","29,646","55,726",35.57,"212,172",2.24,27.12,
98,쌍용C&E,"5,820","

				30
				
","

				+0.52%
				
",100,"29,325","503,860",2.97,"545,457",24.77,11.12,
99,일진머티리얼즈,"63,200","

				500
				
","

				+0.80%
				
",500,"29,142","46,111",9.86,"273,509",49.49,7.85,
100,GS리테일,"27,500","

				200
				
","

				+0.73%
				
","1,000","28,797","104,718",7.26,"164,491",3.56,25.58,
101,포스코인터내셔널,"23,100","

				100
				
","

				-0.43%
				
","5,000","28,500","123,375",8.62,"532,427",5.35,10.86,
102,현대해상,"31,600","

				2,250
				
","

				-6.65%
				
",500,"28,250","89,400",34.63,"918,760",5.17,8.82,
103,제일기획,"24,150","

				50
				
","

				+0.21%
				
",200,"27,782","115,041",32.68,"185,436",15.13,15.58,
104,한진칼,"40,800","

				250
				
","

				+0.62%
				
","2,500","27,239","66,762",16.22,"77,440",3.43,1.11,
105,현대로템,"24,900","

				600
				
","

				+2.47%
				
","5,000","27,176","109,142",7.43,"1,333,577",32.51,5.01,
106,메리츠증권,"4,205","

				125
				
","

				+3.06%
				
","1,000","26,900","639,711",14.16,"1,291,272",3.51,15.77,
107,호텔신라,"65,600","

				1,400
				
","

				+2.18%
				
","5,000","25,747","39,248",15.26,"449,181",78.66,4.51,
108,씨에스윈드,"60,700","

				400
				
","

				+0.66%
				
",500,"25,598","42,171",10.33,"163,921",147.33,10.13,
109,롯데쇼핑,"89,100","

				200
				
","

				+0.22%
				
","5,000","25,205","28,289",12.92,"75,586",-21.94,-2.94,
110,팬오션,"4,710","

				70
				
","

				-1.46%
				
","1,000","25,178","534,570",16.92,"3,047,880",3.18,17.16,
111,한전기술,"65,000","

				2,000
				
","

				+3.17%
				
",200,"24,843","38,220",1.54,"726,102",145.74,3.25,
112,이마트,"88,600","

				1,100
				
","

				+1.26%
				
","5,000","24,698","27,876",28.05,"73,107",1.41,16.25,
113,LG화학우,"319,000","

				2,500
				
","

				-0.78%
				
","5,000","24,527","7,689",70.12,"8,480",11.25,N/A,
114,HL만도,"52,100","

				500
				
","

				+0.97%
				
","1,000","24,465","46,957",22.35,"163,936",23.21,9.31,
115,에스원,"62,200","

				700
				
","

				-1.11%
				
",500,"23,635","37,999",53.45,"55,178",19.26,9.13,
116,OCI,"98,700","

				600
				
","

				+0.61%
				
","5,000","23,539","23,849",11.50,"580,119",3.15,23.93,
117,한미사이언스,"33,850","

				200
				
","

				+0.59%
				
",500,"23,229","68,624",2.42,"57,430",45.07,6.37,
118,아모레G,"27,650","

				1,250
				
","

				+4.73%
				
",500,"22,800","82,458",14.55,"545,613",62.00,5.49,
119,KODEX 200선물인버스2X,"3,115","

				95
				
","

				-2.96%
				
",0,"22,350","717,500",3.59,"180,454,106",N/A,N/A,
120,CJ,"75,300","

				1,200
				
","

				+1.62%
				
","5,000","21,970","29,177",17.89,"29,345",8.29,5.66,
121,대한전선,"1,765","

				10
				
","

				+0.57%
				
",100,"21,965","1,244,473",1.72,"16,911,957",46.45,7.78,
122,LIG넥스원,"99,800","

				200
				
","

				-0.20%
				
","5,000","21,956","22,000",13.96,"246,486",14.77,14.63,
123,한화시스템,"11,600","

				100
				
","

				+0.87%
				
","5,000","21,915","188,919",3.77,"287,544",118.37,6.04,
124,KCC,"246,000","

				1,500
				
","

				+0.61%
				
","5,000","21,861","8,886",11.65,"17,034",-8.61,-0.92,
125,LS,"67,600","

				2,300
				
","

				-3.29%
				
","5,000","21,767","32,200",13.58,"155,545",6.78,8.15,
126,KODEX 레버리지,"14,455","

				400
				
","

				+2.85%
				
",0,"21,675","149,950",1.17,"30,849,765",N/A,N/A,
127,동서,"21,550","

				250
				
","

				-1.15%
				
",500,"21,485","99,700",3.11,"60,588",18.51,8.05,
128,키움증권,"81,800","

				900
				
","

				-1.09%
				
","5,000","21,448","26,220",25.09,"57,847",3.54,25.38,
129,영원무역,"48,400","

				450
				
","

				-0.92%
				
",500,"21,447","44,311",29.26,"53,306",4.70,14.71,
130,BNK금융지주,"6,560","

				10
				
","

				+0.15%
				
","5,000","21,381","325,935",35.33,"1,067,750",2.58,8.76,
131,두산퓨얼셀,"32,600","

				100
				
","

				+0.31%
				
",100,"21,351","65,494",14.52,"697,770",276.27,1.69,
132,한솔케미칼,"187,000","

				3,500
				
","

				-1.84%
				
","5,000","21,197","11,335",38.82,"42,233",13.98,23.88,
133,한화,"28,100","

				650
				
","

				+2.37%
				
","5,000","21,063","74,959",17.58,"187,332",2.63,20.22,
134,신세계,"212,000","
0
","
0.00%
","5,000","20,872","9,845",27.49,"89,780",5.16,8.54,
135,휠라홀딩스,"33,650","

				150
				
","

				-0.44%
				
","1,000","20,443","60,752",41.85,"152,673",9.74,16.20,
136,대우조선해양,"19,050","

				300
				
","

				+1.60%
				
","5,000","20,439","107,291",2.62,"303,084",-1.82,-55.86,
137,TIGER 200,"31,230","

				415
				
","

				+1.35%
				
",0,"20,300","65,000",0.00,"1,450,203",N/A,N/A,
138,CJ대한통운,"88,500","

				600
				
","

				+0.68%
				
","5,000","20,189","22,812",18.22,"83,900",11.07,1.59,
139,GS건설,"23,550","

				450
				
","

				+1.95%
				
","5,000","20,154","85,581",33.50,"788,774",4.16,9.32,
140,코스모신소재,"65,600","

				1,000
				
","

				-1.50%
				
","1,000","20,107","30,651",9.45,"464,667",81.39,9.42,
141,TIGER 미국나스닥100,"67,915","

				30
				
","

				+0.04%
				
",0,"20,042","29,510",0.00,"129,627",N/A,N/A,
142,KODEX 200TR,"10,470","

				145
				
","

				+1.40%
				
",0,"19,930","190,350",0.10,"185,907",N/A,N/A,
143,DB하이텍,"44,150","

				600
				
","

				+1.38%
				
","5,000","19,602","44,399",23.75,"725,146",3.71,33.35,
144,현대차우,"80,300","

				500
				
","

				+0.63%
				
","5,000","19,558","24,357",57.10,"28,117",3.56,N/A,
145,대우건설,"4,620","

				65
				
","

				-1.39%
				
","5,000","19,202","415,623",11.84,"1,996,152",4.57,16.47,
146,하이트진로,"27,150","

				50
				
","

				-0.18%
				
","5,000","19,041","70,134",13.07,"157,474",20.22,6.62,
147,금양,"32,100","

				700
				
","

				-2.13%
				
",500,"18,634","58,050",2.49,"4,358,193",103.55,13.57,
148,한화생명,"2,140","

				35
				
","

				+1.66%
				
","5,000","18,587","868,530",7.24,"1,383,175",1.77,10.79,
149,KODEX 삼성그룹,"9,160","

				35
				
","

				+0.38%
				
",0,"18,366","200,500",1.79,"329,782",N/A,N/A,
150,농심,"301,500","

				500
				
","

				-0.17%
				
","5,000","18,339","6,083",13.84,"22,773",16.18,4.73,
